Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,0.9633287912343553,0.9634975071994256,0.9630797244407384,0.9633020076248399,0.0002101752356203817
orography,0.6416639820936617,0.6417665663399443,0.6414027774688607,0.6416111086341556,0.00018756942107176167
altitude,0.6969363256513105,0.6974751829711575,0.6957814888156797,0.6967309991460492,0.0008653145112599403
latitude,0.688678726927314,0.6919127342378667,0.6892812980533766,0.6899575864061857,0.0017198038473285472
longitude,0.6377599161752495,0.6373615834830197,0.6378703047087692,0.6376639347890128,0.00026759790967034134
cape,0.6206129417095756,0.6211652793555312,0.6205927396879535,0.62079032025102,0.0003248811751413838
sd,0.6339824961859009,0.63450424424517,0.6350629892606351,0.634516576563902,0.0005403520941952014
stl1,0.8586546956371794,0.8569935646833702,0.8324077589595485,0.8493520064266994,0.014697635207150216
swvl1,0.6548164176017298,0.6559710073095878,0.6543090944317543,0.6550321731143574,0.0008517050160114355
t2m,2.18870619722122,2.130367733860679,2.1618696224327576,2.1603145178382186,0.029200305470016306
tcc,0.6269932061372536,0.627138336718391,0.625919652276896,0.6266837317108469,0.0006656791700476343
tcw,0.6628241870080733,0.66319797323467,0.6672341556669893,0.664418771969911,0.0024453462039411827
tcwv,0.6772108338575785,0.6693864916670329,0.6748473463709689,0.6738148906318601,0.004013048257696642
u10,0.6377686129762892,0.6399300884798048,0.6401844596589662,0.6392943870383534,0.0013274660223704245
u100,0.6621285901127638,0.6661574954213667,0.6624256480624273,0.6635705778655193,0.002245254481551766
v10,0.6277301638806231,0.6282408956239026,0.6279651261534027,0.6279787285526428,0.0002556374333839889
v100,0.6334474903101371,0.6329371755959226,0.6318503097763848,0.6327449918941481,0.0008157495606925835
vis,0.6293563327564508,0.6307027146709934,0.6288210042117107,0.6296266838797183,0.0009695493079428397
cp6,0.6295914086025248,0.6313689533460101,0.6308489893788508,0.6306031171091285,0.0009139235244465346
mn2t6,1.3298331880364191,1.3234845628863765,1.3328564796973854,1.3287247435400602,0.004783272214629742
mx2t6,1.1626056771600013,1.1582028669788045,1.1612968965873423,1.1607018135753826,0.002260923974010348
p10fg6,0.681498426154114,0.6781217006836178,0.6753411300501011,0.678320418962611,0.0030834543200650402
slhf6,0.6492564822646636,0.647654009174467,0.6480764333279173,0.6483289749223493,0.0008305497841127434
sshf6,0.7050441542176631,0.7050288974714297,0.6965087241249686,0.7021939252713537,0.004923534527981026
ssr6,0.6225378251467543,0.6226064257173645,0.6227896790947267,0.6226446433196151,0.00013020384640505253
ssrd6,0.6305402202798921,0.6295692572915609,0.6297434470322364,0.6299509748678965,0.0005176805318993396
str6,0.6468717507473438,0.6455673249636262,0.6435998192079364,0.6453462983063022,0.0016471258564779235
strd6,0.6732109676456252,0.6742351921071587,0.6697816834985302,0.6724092810837714,0.00233247952603549
tp6,0.6383263097123572,0.6397805799364291,0.6398097388907651,0.6393055428465172,0.0008481660859949863
z,0.6354880955430823,0.6391530975245081,0.638581528125807,0.6377409070644657,0.001971812036564759
q,0.6265468861127228,0.6239061282990092,0.6252595781447243,0.6252375308521522,0.0013205169518051415
u,0.6288960196662469,0.6293620672797248,0.6278254721512576,0.6286945196990764,0.0007878659941795415
v,0.6255995781706474,0.6251172695189111,0.6257469019652359,0.6254879165515982,0.0003293334059015993
t,0.7527865150251948,0.747343446783748,0.7488469101422206,0.7496589573170546,0.0028109275036682156
cos,0.6507994096157443,0.6531516515450766,0.653189763100239,0.6523802747536867,0.0013692019795962342
