Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.2870835032028252,1.2845779939723883,1.2875992135845151,1.2864202369199096,0.0016161322989515937
orography,1.1138071650276171,1.1135229630759849,1.1131931597797182,1.1135077626277734,0.00030728472355653864
altitude,1.128891546126953,1.130297442059415,1.1300173471202315,1.1297354451022,0.0007441353398784053
latitude,1.1425836257658213,1.1420301410108824,1.1425894119074183,1.142401059561374,0.0003212379152321904
longitude,1.111135118169704,1.1119922459572769,1.1122459539846903,1.1117911060372236,0.0005820927782950887
cape,1.1083158101592938,1.1075188320689917,1.1136636510215676,1.1098327644166177,0.0033414910824501438
sd,1.115184244263276,1.1149624871484929,1.1111892209818817,1.1137786507978835,0.0022452514633084595
stl1,1.4284014425459162,1.441230686056971,1.4315346316910402,1.4337222534313092,0.006688545351969938
swvl1,1.1296226516625654,1.1227957881338422,1.1313871560385524,1.1279351986116535,0.0045374578750436555
t2m,1.6199334976060475,1.5758208442618709,1.5819444616145606,1.592566267827493,0.023897669796126415
tcc,1.1070023582930468,1.1073999654997353,1.108124909548171,1.1075090777803178,0.0005691743559101225
tcw,1.1169808534341266,1.1182197662543092,1.1170386957842513,1.1174131051575624,0.0006991874055792169
tcwv,1.1155998250972097,1.1186622851676107,1.1189139571210525,1.117725355795291,0.00184505968857424
u10,1.107013850768559,1.1060243801698908,1.1082066927028615,1.1070816412137703,0.0010927344856994181
u100,1.1076780798309398,1.110066300894934,1.1132325021733087,1.1103256276330609,0.002786277024486681
v10,1.1051551353399813,1.1047151148120915,1.1058368813452886,1.1052357104991204,0.0005652073123668553
v100,1.1110052353477768,1.1105268087202176,1.11008294863578,1.1105383309012582,0.00046125130381762777
vis,1.1103824056625629,1.1094891900006507,1.1119672801274876,1.1106129585969002,0.0012550293466012331
cp6,1.1072660362264,1.107772801580991,1.1069667803192103,1.1073352060422004,0.00040743823602358624
mn2t6,1.5447984319604773,1.5302472902914304,1.497355200617931,1.5241336409566129,0.024305299446775577
mx2t6,1.6970365919318113,1.7058972141618314,1.707851805650003,1.7035952039145486,0.005763388788420085
p10fg6,1.1424493101475264,1.144030582356506,1.1516811578232125,1.1460536834424149,0.004937251905627466
slhf6,1.11172147442639,1.1137546854719471,1.1110923453211141,1.112189501739817,0.0013915103105150658
sshf6,1.139697602961691,1.1258740384514594,1.1325898035648538,1.1327204816593348,0.006912708695975584
ssr6,1.106677691334792,1.108842367269294,1.1069027978299761,1.1074742854780206,0.0011901277554336909
ssrd6,1.1040782315598803,1.1095531274475356,1.1078741578729858,1.1071685056268006,0.002804831557255468
str6,1.1256760998899915,1.133394515517085,1.1247063611107797,1.1279256588392854,0.004760923581272009
strd6,1.3091606171600367,1.289408763467934,1.299742962981084,1.2994374478696848,0.009879470415008439
tp6,1.10639421786029,1.110596483387823,1.1029570030770586,1.1066492347750572,0.0038261194538007394
z,1.1099894366309253,1.1081633894809717,1.1091358600412344,1.1090962287177104,0.0009136684463286524
q,1.1220271948282035,1.119106025038095,1.1220115134936546,1.1210482444533179,0.0016820296277753493
u,1.1239688440942996,1.1169041955984336,1.1143227681052135,1.1183986025993156,0.004993659450745521
v,1.1016573371997147,1.105941957102088,1.101238633458761,1.1029459759201878,0.002603028166846676
t,1.1530224147501544,1.1409650404332856,1.1461944243753586,1.146727293186266,0.006046323736908283
cos,1.145041821509059,1.1407607811850287,1.1369482979858399,1.1409169668933092,0.004049021639461642
