Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,0.9360282784612193,0.9351593667604103,0.9360632215728004,0.9357502889314766,0.0005120517693115225
orography,0.6242650021869909,0.6239637881613315,0.6235502892106446,0.623926359852989,0.0003588235197676952
altitude,0.6727527450206915,0.6732236136038788,0.6739802685829083,0.6733188757358262,0.0006192815831967811
latitude,0.7141108537402995,0.7138680123180284,0.7137804718072466,0.7139197792885249,0.0001711663513887128
longitude,0.6143480039097505,0.6142984418228743,0.6144000597378737,0.6143488351568328,5.081405702156258e-05
cape,0.6086705469517605,0.6082942395060854,0.608957498910418,0.6086407617894213,0.0003326313669523187
sd,0.6152175425909747,0.6140002830265217,0.6141237805513258,0.614447202056274,0.0006699860552357589
stl1,0.7942924515188277,0.8078593786962279,0.81507802608443,0.8057432854331618,0.010553123496342172
swvl1,0.6407859097078799,0.6422101123236017,0.6432594626891751,0.6420851615735522,0.0012415013512969324
t2m,2.198778125912494,2.31955289230893,2.246240282834293,2.254857100351906,0.060846718955316736
tcc,0.6244878522818459,0.6237725062235349,0.6262420944696508,0.6248341509916772,0.0012706921828915438
tcw,0.655885002376455,0.6534260947789103,0.657120879468404,0.6554773255412564,0.0018808266206371501
tcwv,0.6717538212059339,0.6731762784212088,0.6670730334092362,0.6706677110121263,0.0031932939786154333
u10,0.6207935251805986,0.6222389990521181,0.6224620013042698,0.6218315085123288,0.0009058087816026639
u100,0.6481728408228866,0.6434915344937532,0.6494975947683569,0.6470539900283323,0.0031554809983423185
v10,0.6152418387180114,0.6133348233081113,0.6147151217488287,0.6144305945916505,0.0009848318236014108
v100,0.619062256640848,0.6192389835022419,0.6194079041439937,0.6192363814290279,0.0001728384424729405
vis,0.6206235222540982,0.6206290230399409,0.6215744841764007,0.6209423431568132,0.0005474570906883816
cp6,0.6216868091365527,0.624269600555945,0.6187295951892375,0.6215620016272451,0.0027721106672663138
mn2t6,1.5012100904609595,1.4304000178756386,1.4676237265472896,1.4664112782946293,0.03542060301517519
mx2t6,1.3620550992094247,1.3104937035425275,1.3400200101640316,1.337522937638661,0.02587123710179514
p10fg6,0.6687525443632168,0.6648856658020189,0.6687375155697676,0.6674585752450012,0.0022282176099964668
slhf6,0.6341827590076192,0.6333735949475918,0.63382948511554,0.6337952796902503,0.0004056650432924223
sshf6,0.6966558033650615,0.6981481775878565,0.7011356170925407,0.6986465326818196,0.0022811074301722248
ssr6,0.6059604286659668,0.6078542276164639,0.6075370322498093,0.6071172295107466,0.0010142950118280972
ssrd6,0.6114985845606572,0.6134519879623737,0.6135726179106314,0.6128410634778875,0.0011641843189589512
str6,0.6332763595570117,0.6344746729267358,0.6334105244823851,0.6337205189887108,0.0006565524948387453
strd6,0.7096427533994237,0.7102695514472803,0.7110958791598381,0.710336061335514,0.0007288424334652769
tp6,0.6174600836785578,0.6184212609828958,0.6153924382310773,0.6170912609641769,0.001547728807467868
z,0.6239145414168611,0.6249953822702944,0.6257221891765152,0.6248773709545569,0.0009095837557516227
q,0.6181594950686373,0.6185268145957079,0.6184251561744968,0.6183704886129474,0.0001896636904000383
u,0.6161852585824539,0.6169065803993068,0.615812170632586,0.6163013365381156,0.0005563620702531964
v,0.6131676447578908,0.6122562031414066,0.6129544379783978,0.6127927619592317,0.0004767450119768948
t,0.7360714590611728,0.7350376550819545,0.734946131956557,0.7353517486998947,0.0006249650980005406
cos,0.6431863022790111,0.6423183973780343,0.6480793569046991,0.6445280188539148,0.003106012909261002
