Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.2805366514867298,1.278898551477561,1.278126864857098,1.279187355940463,0.001230578690467232
orography,1.1039485857319842,1.104958022776208,1.1041016930867826,1.1043361005316583,0.0005440137169434454
altitude,1.1325930530069614,1.132691182609225,1.1326185218651037,1.1326342524937634,5.0920960503710795e-05
latitude,1.1116321714032715,1.1101556780084194,1.1108169264607002,1.1108682586241303,0.0007395839570409175
longitude,1.1016921776079291,1.1014454192985503,1.101082035345436,1.1014065440839718,0.00030692321002401973
cape,1.0899850721087598,1.0969952160411087,1.0937326400479905,1.093570976065953,0.0035078670043743325
sd,1.1103822376361068,1.1119768370741772,1.1103930961828976,1.1109173902977272,0.0009175238858510941
stl1,1.4610459881351927,1.4160364190141683,1.494809200630695,1.4572972025933522,0.03951996743015214
swvl1,1.1216138599690575,1.1238235471997147,1.1271509001831617,1.1241961024506446,0.0027872570108259296
t2m,1.629813942261788,1.618597135467646,1.5476138297590414,1.5986749691628253,0.04457447875829575
tcc,1.0981194731311268,1.09766623505826,1.0991032792778292,1.0982963291557388,0.0007346649320135607
tcw,1.1097964980669237,1.107378370285414,1.1091420818413735,1.108772316731237,0.0012507518416667704
tcwv,1.1088249018248122,1.11085375153788,1.110408363756452,1.1100290057063813,0.0010662983574820136
u10,1.0958303147474475,1.094623823785606,1.0949927272093125,1.0951489552474554,0.0006182317608937187
u100,1.1023087132118536,1.0996274293941404,1.101432134391766,1.1011227589992532,0.0013671523608954482
v10,1.0976979787631387,1.0960887943837814,1.0973654090582399,1.0970507274017198,0.0008494922014971482
v100,1.0979999181379039,1.0977721526387836,1.0987451401978257,1.098172403658171,0.0005089102460542894
vis,1.100551674816872,1.1002498274129646,1.0986922386582332,1.09983124696269,0.0009978892233246587
cp6,1.0989535043135303,1.0976509827132421,1.0968317567905608,1.0978120812724443,0.0010700082696594728
mn2t6,1.5567165741417253,1.5374386943606873,1.5605543678923048,1.551569878798239,0.012387491490373584
mx2t6,1.588109897678575,1.6647712270677153,1.6617398788654698,1.63820700120392,0.0434118313850345
p10fg6,1.132958622159241,1.1313164624888683,1.120855089151901,1.1283767246000034,0.006565471952294314
slhf6,1.0990217602983339,1.102749004960769,1.1022387894711272,1.10133651824341,0.002020806329089363
sshf6,1.1055767405092936,1.111737878739865,1.1133968569756587,1.1102371587416058,0.0041203975259385345
ssr6,1.0933881130957752,1.093373701702783,1.0956411731412667,1.094134329313275,0.001304984928468408
ssrd6,1.095745658281502,1.0978666560080559,1.0961480804121297,1.096586798233896,0.0011265046978877406
str6,1.1043446222735578,1.1126838158526902,1.1170755041206721,1.1113679807489734,0.006466637817786495
strd6,1.2484220983468652,1.27186282507863,1.2843289563726201,1.2682046265993718,0.018230809784693176
tp6,1.096088301047682,1.096774550072301,1.097344329407434,1.0967357268424724,0.0006289135413600852
z,1.102817267518,1.1024692824413944,1.104127368249258,1.1031379727362174,0.0008743288936685556
q,1.1076167881537429,1.1104285818346626,1.1059258479554928,1.1079904059812993,0.0022744990234021046
u,1.1062315141783148,1.108050493028769,1.1043723050276597,1.1062181040782477,0.0018391306685398318
v,1.095769271434415,1.0879168290048362,1.0951245064961328,1.0929368689784613,0.004359418706548492
t,1.1499857420698048,1.145943945999018,1.143840497921252,1.1465900619966913,0.0031231563878819546
cos,1.1199054411111076,1.1254529450471493,1.1177222686823778,1.1210268849468783,0.0039854819622977
