Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.0289995769212887,1.0282405448194134,1.027267477040186,1.0281691995936295,0.0008682511764810374
orography,0.6711033054683219,0.6697157943147729,0.6698178203154391,0.6702123066995114,0.0007733119879579286
altitude,0.7240333005569197,0.7236413171368709,0.7229881835307915,0.7235542670748606,0.000527968450333672
latitude,0.7315273958251559,0.7307677392175774,0.7331277103716984,0.7318076151381439,0.0012046817461883526
longitude,0.6503656580280618,0.6502649866441071,0.650432585892403,0.6503544101881906,8.436386924307561e-05
cape,0.6248639044244606,0.6251154659841908,0.6257360025126905,0.6252384576404473,0.00044886966872922257
sd,0.6449667080626048,0.6450147323308169,0.6463783290347643,0.645453256476062,0.0008014961083700826
stl1,0.818605889838988,0.817114316840452,0.8115632999884348,0.8157611688892915,0.0037111689511629413
swvl1,0.6725842486723942,0.6680665210389414,0.6706088132081743,0.67041986097317,0.002264783202174252
t2m,2.1841203720401747,2.1889999742041,2.195892309228908,2.1896708851577276,0.00591457669023265
tcc,0.6337400406097423,0.6313420471943035,0.6296794167824314,0.6315871681954924,0.0020413793610324082
tcw,0.6536648548334693,0.6593625699460075,0.6568339119242883,0.6566204455679218,0.002854849433838327
tcwv,0.6741753240123831,0.6801749925884468,0.680484618354861,0.6782783116518969,0.003556662439185011
u10,0.6355000294190126,0.6354800234915517,0.6326184466990142,0.6345328332031929,0.0016579375213859415
u100,0.652149319153664,0.6498849455980917,0.6510698295040978,0.6510346980852845,0.0011325954980639181
v10,0.6347440633188491,0.6333103570728761,0.6320882980549583,0.6333809061488945,0.0013292874645153489
v100,0.6362370855650229,0.6376633341682458,0.6357569079807714,0.6365524425713468,0.0009915657986992975
vis,0.6324907536182421,0.6327065988476402,0.6323973355350617,0.6325315626669813,0.00015861898679228408
cp6,0.6369023890422278,0.6353323351950401,0.633907845323665,0.6353808565203111,0.0014978613954070154
mn2t6,1.3891898326668022,1.3893398727434658,1.4090394145387706,1.395856373316346,0.011417095073189883
mx2t6,1.3010897031474897,1.2833388157215089,1.2626636833033515,1.2823640673907832,0.019231545725622638
p10fg6,0.6849326048170646,0.6793603387118758,0.6853733429507215,0.6832220954932207,0.0033516319315091622
slhf6,0.6706910884548563,0.6747733050821951,0.6725297605308,0.6726647180226172,0.0020444518315623546
sshf6,0.7291578020681256,0.7304814510440106,0.7283427663570932,0.7293273398230765,0.0010793749743620827
ssr6,0.6277246787757,0.6285144954539079,0.6287569689251721,0.62833204771826,0.0005397880328022625
ssrd6,0.630819767271195,0.6338990050315878,0.6327162961251557,0.6324783561426462,0.001553347312327357
str6,0.6459618247346995,0.6442675597114694,0.6447167933964059,0.6449820592808583,0.0008777288785986108
strd6,0.6545559765250774,0.6586439129288825,0.6536744958338425,0.6556247950959341,0.002651519643369636
tp6,0.6441307665448734,0.6425103359546487,0.6429727157461393,0.6432046060818871,0.0008347326939170222
z,0.6418697688879955,0.6405885975663561,0.6400333862098497,0.6408305842214005,0.000941803318672819
q,0.6281900238550476,0.6285555635126984,0.6283473299969404,0.6283643057882288,0.00018336014683200536
u,0.634282739117043,0.6332933476971084,0.6323747828177997,0.6333169565439837,0.000954197224473888
v,0.6302215150921828,0.6300685182159554,0.630131065281896,0.6301403661966781,7.69213318636139e-05
t,0.7485602215173132,0.7558190963109717,0.7538301670256609,0.7527364949513151,0.003750987173019295
cos,0.661753688140065,0.6570649914976449,0.6644423473832919,0.6610870090070006,0.0037335895282851247
