Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,0.9846454999586619,0.9878862009863099,0.987582743832315,0.9867048149257623,0.0017898617715819084
orography,0.64689336855871,0.6465058908593295,0.6471531374668962,0.6468507989616452,0.00032571639611375094
altitude,0.6887814349509448,0.6891967427943868,0.6891977771852108,0.6890586516435141,0.00024007725521258297
latitude,0.6981631207942381,0.7003843775028135,0.6976029825902654,0.6987168269624391,0.0014710480296084081
longitude,0.6277976371734146,0.628031137211115,0.6278248584414964,0.627884544275342,0.00012768071887684593
cape,0.613992419868345,0.6134380147570949,0.616229301541559,0.6145532453889996,0.001477739634287479
sd,0.6252310213748368,0.625838233222483,0.6265052160218311,0.6258581568730502,0.0006373309293421873
stl1,0.8014442496509278,0.7919003932037335,0.8129950293891964,0.8021132240812858,0.01056321750418002
swvl1,0.6641239407257034,0.6687751052127511,0.6664840443265971,0.6664610300883506,0.002325667648819372
t2m,2.3463787121313575,2.37174242865915,2.391354409764359,2.369825183518289,0.02254906242156008
tcc,0.6310577569569992,0.6299817162121704,0.6283148673249309,0.6297847801647002,0.0013820089502321528
tcw,0.6525507227351339,0.655289857240557,0.6534032889812212,0.6537479563189708,0.001401717211131869
tcwv,0.6724009790597142,0.6738630034435165,0.6769437932127359,0.6744025919053223,0.0023189775523512497
u10,0.6226712072739745,0.6244397759708975,0.6246914500293177,0.6239341444247298,0.0011009507904484335
u100,0.6449922292800317,0.6442829010867289,0.6441025620580466,0.6444592308082692,0.0004703148620791323
v10,0.6208869975806719,0.621072785496547,0.6211239430102895,0.6210279086958361,0.00012468452023286497
v100,0.6265967531726333,0.6261227143796951,0.627053441059186,0.6265909695371715,0.000465390294063387
vis,0.6269811286016735,0.6301669943705531,0.6289626422061401,0.6287035883927888,0.0016086537330912772
cp6,0.6254045912634328,0.6254553714083937,0.6272455710378306,0.626035177903219,0.0010485386549940296
mn2t6,1.5007294362455086,1.4515265243971558,1.4615369251028618,1.4712642952485087,0.026003806087802055
mx2t6,1.3577873578958524,1.3307622269791024,1.36867984853256,1.3524098111358382,0.019522423336638083
p10fg6,0.6712807659947808,0.6723733496948873,0.6729995524487349,0.6722178893794677,0.0008698750777133315
slhf6,0.6526348947853678,0.6554950009892244,0.6522657954347852,0.6534652304031259,0.001767494004740429
sshf6,0.7071961435960227,0.7080872866687044,0.7094115261210563,0.7082316521285944,0.001114724617366566
ssr6,0.6138675247105022,0.6134347556666966,0.61366122086382,0.613654500413673,0.00021646277891763143
ssrd6,0.6244079727202972,0.6229887278315897,0.6241023902898373,0.6238330302805747,0.0007469806720880389
str6,0.6379410114108242,0.6386787571733669,0.6370183581270814,0.6378793755704242,0.0008319137460354731
strd6,0.652813598436773,0.6548063418210898,0.6526261859963407,0.6534153754180678,0.001208251425183951
tp6,0.6229281991498454,0.6230300338378937,0.6234519027622211,0.6231367119166534,0.0002776716185887928
z,0.6299598031396402,0.6317046797794785,0.6323412122198696,0.631335231712996,0.00123294209402571
q,0.6229382478681978,0.6222613438831442,0.6214660923276759,0.622221894693006,0.0007368701804417658
u,0.6234361625701538,0.6226597417260814,0.6244186306284784,0.6235048449749044,0.0008814536274164081
v,0.6167991529925217,0.6171328458758203,0.6173683241072422,0.6171001076585281,0.0002859943751398441
t,0.7345797894451846,0.7378211127624211,0.734709614485771,0.7357035055644591,0.0018350500862202147
cos,0.6554316328435077,0.6554169295376527,0.6552009608683507,0.6553498410831703,0.0001291434689573413
