Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.2853139589215987,1.2833053301052628,1.2839495333344146,1.2841896074537587,0.0010256091446247295
orography,1.105442723294211,1.1048616204656048,1.1053198783970684,1.105208074052295,0.0003062601557275146
altitude,1.1360701861053757,1.1355932765346908,1.1349780169792956,1.1355471598731206,0.0005475430666590829
latitude,1.1338481182588325,1.1337785317911337,1.1348926340695777,1.1341730947065145,0.0006241099585566822
longitude,1.1042937429301378,1.1042190265314276,1.1046092145151214,1.1043739946588955,0.00020710364707368908
cape,1.0986229818556128,1.0981023622750181,1.0973371630182176,1.0980208357162828,0.0006467746558767593
sd,1.1099311547909325,1.1132452932860946,1.1116210355456986,1.1115991612075753,0.0016571775270863367
stl1,1.3989019897378043,1.4349340053867643,1.4176928610390482,1.4171762853878722,0.018021561412215784
swvl1,1.1177577344954066,1.121786506437591,1.1206309219076602,1.1200583876135526,0.0020745113831887978
t2m,1.618511373978378,1.5826147755044013,1.6182313083716005,1.6064524859514602,0.020644537744991552
tcc,1.1024594038896212,1.103030659953263,1.1015669836585067,1.1023523491671303,0.0007376873383511859
tcw,1.1121903916760936,1.1117971807001068,1.110640009773299,1.1115425273831665,0.0008059511430600806
tcwv,1.1169950127506074,1.1148185383406697,1.1119318826967641,1.1145818112626804,0.002539852607460282
u10,1.0980662863290473,1.1014591918207477,1.1001561116885785,1.0998938632794577,0.001711587739488495
u100,1.1052659640583191,1.107308036115983,1.099996392463337,1.104190130879213,0.0037726775634513584
v10,1.0994905349141035,1.0984956638922425,1.0998974144548146,1.0992945377537202,0.0007211361349124929
v100,1.1028809457003628,1.1017405538758311,1.1000566066837358,1.1015593687533098,0.0014208602171493045
vis,1.1023316925340725,1.1018438015229208,1.101789450655727,1.1019883149042402,0.0002986128793155772
cp6,1.0972009029001035,1.1007192365410627,1.0981642240454754,1.0986947878288804,0.001818183529919962
mn2t6,1.5832544392134067,1.5401965537035658,1.5268288831069834,1.5500932920079853,0.029485927444789728
mx2t6,1.7222677218026008,1.7109928137635144,1.6934296486899538,1.7088967280853564,0.014532852321214425
p10fg6,1.137696269400842,1.1302731980843341,1.140802745396826,1.1362574042940006,0.005410230239857144
slhf6,1.1052355403454253,1.1051688192153815,1.104260625242371,1.1048883282677258,0.0005446294550686295
sshf6,1.1213070528462505,1.1187931397321331,1.1208550458588649,1.1203184128124162,0.0013401197917494094
ssr6,1.0979651407807973,1.098070777422483,1.0984166984636985,1.098150872222326,0.00023619370857036858
ssrd6,1.100668906260924,1.098901908376917,1.1002951334539857,1.099955316030609,0.0009312235453661224
str6,1.1216516066939974,1.1271767997266,1.1223339167856803,1.1237207744020925,0.0030123861054039184
strd6,1.2869645108412169,1.2904423936673608,1.2672946100140765,1.2815671715075514,0.01248212425538471
tp6,1.0978057287924692,1.0974956185647513,1.0997902148031204,1.0983638540534468,0.0012449581637511368
z,1.1089363206665948,1.1080582681442415,1.109867752442564,1.1089541137511334,0.0009048733623341844
q,1.1130315776147748,1.1137133044011422,1.1165345660302861,1.1144264826820678,0.0018572020366910819
u,1.1072893868128992,1.1068884200129274,1.1092749284469916,1.1078175784242728,0.0012779262146966409
v,1.0915699528627452,1.0959500429444342,1.092184368873818,1.093234788226999,0.0023714621848304482
t,1.1518442914524942,1.146790840929011,1.1630334858619225,1.153889539414476,0.008312229425590387
cos,1.128574766387523,1.1221720989189063,1.127428870681891,1.1260585786627735,0.003414207498331526
