Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.3912984258330932,1.3916462061893409,1.3906744042910149,1.3912063454378163,0.0004924010883347749
orography,1.2028153438208886,1.2025026626307929,1.202503708719666,1.2026072383904491,0.0001802253484093795
altitude,1.2364845483887108,1.2368382654996202,1.236403626212049,1.23657548003346,0.00023114768133746075
latitude,1.2326339653209968,1.2328291032229532,1.2305172245074882,1.2319934310171459,0.0012821501255945635
longitude,1.1974800572212623,1.1981973133295931,1.198274164422008,1.1979838449909546,0.0004379818606631262
cape,1.1908665697619534,1.1909991936106032,1.1940022405602146,1.1919560013109238,0.001773335436490114
sd,1.1994716527151172,1.2049652269750448,1.2003906310610875,1.2016091702504166,0.002942527460242766
stl1,1.4124785701506952,1.4431631008650705,1.4139369880550274,1.4231928863569312,0.017310079327425003
swvl1,1.200969414729512,1.2035786329970855,1.2054303354621203,1.2033261277295726,0.0022411543071026857
t2m,1.6037944617895756,1.61557016249356,1.5922353933604314,1.6038666725478556,0.011667552160556644
tcc,1.1857999432884159,1.1852096879219072,1.1831157167343342,1.1847084493148856,0.0014105666075325202
tcw,1.184355709918822,1.18384429757198,1.1888669524234714,1.185688986638091,0.0027640523777438105
tcwv,1.1917911825406988,1.1845242764053656,1.1918870382139084,1.1894008323866576,0.0042234933120022435
u10,1.189720453939514,1.191469279751596,1.1885726702108215,1.1899208013006437,0.001458660689386073
u100,1.1862199030025407,1.1874726885904008,1.1831700770132922,1.1856208895354112,0.0022129684693232574
v10,1.190041411670191,1.1905405606751625,1.1898711348886641,1.1901510357446725,0.00034791636809249906
v100,1.1900817752777428,1.1872394671669193,1.190833775224602,1.1893850058897548,0.001895752697059624
vis,1.1863434769388421,1.1878201248801528,1.1900469159879996,1.1880701726023315,0.0018643385141200103
cp6,1.185577528696028,1.1859987708821766,1.1856204114901177,1.185732237022774,0.0002318188024368465
mn2t6,1.5210956766081623,1.5498454905388248,1.5520741352358611,1.5410051007942827,0.017278037876552025
mx2t6,1.6487072387388655,1.661095480486096,1.7006757404368378,1.670159486553933,0.027144031511206618
p10fg6,1.232325835821132,1.2279819780646648,1.2285159145412767,1.229607909475691,0.0023688847069233024
slhf6,1.195253308077493,1.1990157092967386,1.194513261987635,1.1962607597872887,0.002414379248065943
sshf6,1.2155184486348956,1.2171208656977883,1.2124863157993253,1.2150418767106697,0.0023537425070631903
ssr6,1.1864836207293823,1.1865023403354373,1.185953961340711,1.1863133074685102,0.00031134359730995324
ssrd6,1.1884971969079934,1.186600282455548,1.1838886614932342,1.1863287136189251,0.002316238738135768
str6,1.2269333430959584,1.2213402575479453,1.2255909198302386,1.2246215068247142,0.002919841206009026
strd6,1.2930248136253963,1.300023742460028,1.2885406179114136,1.293863057998946,0.0057872728959405964
tp6,1.198065571508647,1.197326753146143,1.199148610887186,1.1981803118473253,0.000916332590351192
z,1.1888839535489026,1.1880960069882487,1.1920513486261417,1.189677103054431,0.0020935607160296257
q,1.1853863094557033,1.18877231383861,1.1868010903146773,1.186986571202997,0.001700605418730202
u,1.191061693145497,1.189602512281663,1.1927036075352138,1.1911226043207914,0.001551444672347581
v,1.1894775991897357,1.1888152110772405,1.186253247944516,1.1881820194038308,0.0017028825589552679
t,1.2199177314292171,1.2326464414742857,1.230672946797064,1.2277457065668556,0.006850661747369417
cos,1.2109048427959312,1.199429111853037,1.2158610579280542,1.2087316708590075,0.008428773348100181
