Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.2783320770020956,1.276172344153753,1.276351716589298,1.276952045915049,0.0011985023857172812
orography,1.1052735691345072,1.1050778605532277,1.1049958665385633,1.105115765408766,0.00014267889298541476
altitude,1.1356534429489076,1.136319866271909,1.136218219283299,1.1360638428347052,0.0003590321396064476
latitude,1.1183998805994906,1.1183760771291165,1.1182179682137814,1.1183313086474629,9.887462632436415e-05
longitude,1.1037645374603262,1.1041179922979998,1.1039422241638575,1.1039415846407277,0.00017672828667501946
cape,1.1014307249476227,1.1035306928177038,1.1005103022722194,1.101823906679182,0.001548106478035942
sd,1.1188806992946112,1.1171470372333596,1.1181228379190202,1.1180501914823304,0.0008691111345671365
stl1,1.4535906191844146,1.4233718286616976,1.4736163979791097,1.4501929486084073,0.02529401728631408
swvl1,1.1324645580235608,1.1337370263561473,1.131745135129596,1.1326489065031013,0.0010086604661801153
t2m,1.5961597292797225,1.5768466600753037,1.5736327399215047,1.582213043092177,0.01218461580843459
tcc,1.1012666449972472,1.1031166547319537,1.1026040601837872,1.1023291199709961,0.0009551586753437536
tcw,1.1122672985059405,1.1106030006400296,1.1119505548200443,1.1116069513220048,0.0008837530025508662
tcwv,1.1255889320250245,1.1224415680772115,1.1224715219182586,1.1235006740068316,0.0018085465078506574
u10,1.1000899932869963,1.0973756257296854,1.0986429070139676,1.0987028420102165,0.0013581759686715916
u100,1.1055414550455385,1.101830203900711,1.1053201666556787,1.1042306085339761,0.002081753813596061
v10,1.1019600546687616,1.099611802718509,1.1018329520728907,1.1011349364867205,0.0013206025610943174
v100,1.1012467346745967,1.1012029055507633,1.1018513903547456,1.101433676860035,0.0003624136735436107
vis,1.1028174032128142,1.1021542337909085,1.1050496499368043,1.1033404289801758,0.0015169131911456312
cp6,1.102309514786691,1.1025372667171163,1.0986273184367588,1.101158033313522,0.0021946198021653494
mn2t6,1.5438326946886498,1.5702009560203756,1.579407303991359,1.5644803182334615,0.018464356996031644
mx2t6,1.6400042774108559,1.5955644722257818,1.6550055237500383,1.6301914244622253,0.03091162748580078
p10fg6,1.131840545996752,1.140266183744187,1.1282562136697956,1.1334543144702447,0.006165470931848916
slhf6,1.1051400653499257,1.1005584886095214,1.105320522848704,1.103673025602717,0.0026987768968005205
sshf6,1.1118230325688339,1.1199236267958894,1.1195907774208382,1.1171124789285205,0.004583817107021147
ssr6,1.0988660060961986,1.0969277151074865,1.099756112352472,1.0985166111853857,0.0014462072281096877
ssrd6,1.1009138149953184,1.1019003241675998,1.1008914744598353,1.1012352045409177,0.0005761187926370549
str6,1.1189561636524419,1.1199135624275833,1.1208647889509715,1.1199115050103323,0.0009543143126198782
strd6,1.2818974711986453,1.2875005312927696,1.2728733249525999,1.2807571091480048,0.00737998038848216
tp6,1.0988285565775588,1.0980211053965943,1.1018543434188752,1.099568001797676,0.002020770362765357
z,1.106778717711874,1.1075241229985497,1.107813548544209,1.1073721297515444,0.0005338962195401882
q,1.1100626491833143,1.1086244062308352,1.1091519721001057,1.1092796758380852,0.0007275760311536911
u,1.1091786817002334,1.106514767215279,1.1134090583331757,1.1097008357495628,0.0034766788955841728
v,1.0977203863695746,1.0962618738372762,1.0995320269891575,1.0978380957320029,0.0016382512108013877
t,1.1559243639361911,1.150608656338562,1.1459146747420097,1.150815898338921,0.005008061638604575
cos,1.1288965154675785,1.1286159541257086,1.1288479229122537,1.1287867975018469,0.00014993633144107815
