Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.378437992770674,1.3769708037594268,1.3789934664532952,1.3781340876611319,0.0010450166649370045
orography,1.197749213166799,1.1977710307274652,1.197438502113809,1.1976529153360245,0.0001860074565278329
altitude,1.2303149759012417,1.2305274454099486,1.2305583363486219,1.2304669192199373,0.00013249015659747362
latitude,1.2138539876724568,1.2146367385706198,1.2135153088107131,1.2140020116845964,0.0005751821517819998
longitude,1.1936933463439903,1.1936807881690965,1.193455588100276,1.1936099075377875,0.00013379197858837236
cape,1.1901231290264047,1.1962306360881148,1.1881217437664808,1.1914918362936666,0.004224163036455311
sd,1.200332215840134,1.2041719331733323,1.2020566202880458,1.202186923100504,0.0019231722275752615
stl1,1.43523232422777,1.4408309032072464,1.4384138951305148,1.438159040855177,0.0028079769717008103
swvl1,1.203639607355263,1.2041341552569198,1.2034806668600124,1.2037514764907318,0.00034080463439634313
t2m,1.6149508368630425,1.605673371190346,1.560110555965636,1.5935782546730082,0.029352733857386997
tcc,1.1842157985118944,1.184123371857196,1.185222565254026,1.1845205785410389,0.0006096922834780256
tcw,1.189074605590395,1.1873811594333241,1.185804875447326,1.1874202134903484,0.0016352148839375263
tcwv,1.191129937270864,1.190421461045094,1.19746833562822,1.1930065779813928,0.0038801991720641546
u10,1.1837601761052128,1.1862113515931136,1.1841532712375193,1.1847082663119486,0.001316464951148356
u100,1.1846074493322585,1.1841102521168692,1.1845480554554293,1.1844219189681855,0.00027154019556660476
v10,1.1855780054329805,1.1877157955924056,1.1883355200954546,1.187209773706947,0.0014467257479779175
v100,1.1890491499037303,1.188056190456562,1.1896963782954175,1.18893390621857,0.0008261445799067671
vis,1.1872781867724123,1.1854986545477608,1.1847111292855004,1.1858293235352244,0.001315086506557752
cp6,1.1877990185154972,1.1840934342886233,1.1831734781042094,1.1850219769694432,0.0024485811517473547
mn2t6,1.5038599706762446,1.5348563931464605,1.5296098260860846,1.5227753966362634,0.01658995542237732
mx2t6,1.6163137486305474,1.6019549641290791,1.661658786994242,1.6266424999179563,0.03116326272306143
p10fg6,1.2307512345320624,1.2338568603039868,1.2323339233166024,1.232314006050884,0.0015529086843454627
slhf6,1.1959111979802364,1.1934933345828993,1.195798064322025,1.1950675322950535,0.0013644682604842125
sshf6,1.2009004073384186,1.2061162069697875,1.2093042771253375,1.2054402971445146,0.004242510744570643
ssr6,1.186643540486638,1.1862773161691977,1.1849125468557449,1.1859444678371935,0.0009122366724905484
ssrd6,1.1870254558905937,1.1881511032929628,1.186919517229081,1.1873653588042126,0.0006825331868868338
str6,1.223013388203988,1.221954900744542,1.2178831862406962,1.2209504917297422,0.00270857363713803
strd6,1.296106532831535,1.2969851672295598,1.2999888974957232,1.2976935325189392,0.00203581062081729
tp6,1.200761667550464,1.197914752593448,1.1984569732622288,1.1990444644687135,0.0015116516236862072
z,1.1882733875465576,1.1892459387737566,1.185597372160807,1.1877055661603737,0.0018893981653527545
q,1.1897888596194262,1.1886540388999407,1.1863036587125653,1.188248852410644,0.0017775793677435052
u,1.1929801749301983,1.1943420137378653,1.1821767583463294,1.189832982338131,0.006665356374118014
v,1.1883470656350972,1.1906748951817863,1.1855979035010098,1.1882066214392977,0.002541407987861979
t,1.217836058883808,1.2157788727529673,1.222165575574656,1.2185935024038104,0.0032600281820311587
cos,1.2056695470747016,1.207179677736537,1.2070769276305668,1.206642050813935,0.0008437784295575146
