Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.381851198432315,1.3834575986224111,1.3801163327541734,1.3818083766029667,0.0016710444884455039
orography,1.2174626391654646,1.216884945850151,1.2163104727509677,1.2168860192555278,0.0005760839572692359
altitude,1.2457784734439354,1.243806116365589,1.2449456617386554,1.2448434171827267,0.0009901457332326018
latitude,1.23564172982546,1.2353620330611033,1.2366154824042066,1.2358730817635901,0.0006579715825086223
longitude,1.2035380101930526,1.2035596230902705,1.2033566858992533,1.2034847730608587,0.00011145187328018024
cape,1.1939931815677252,1.1977166837388393,1.2004595193373777,1.1973897948813141,0.0032455389816930893
sd,1.2105852670585422,1.2105097529396822,1.213079093695671,1.2113913712312987,0.0014620981270412725
stl1,1.4124894780556632,1.4263171066962586,1.4740610742666744,1.4376225530061986,0.03230518847171703
swvl1,1.2217163161789273,1.2231788214484454,1.2145622388134851,1.219819125480286,0.00461095147301867
t2m,1.5719079953291373,1.6463126091536375,1.6595393059236454,1.6259199701354732,0.04724094033485839
tcc,1.1923334348680743,1.1933459890294524,1.1914796146826376,1.192386346193388,0.0009343115148985077
tcw,1.1971754297654777,1.1940832402771546,1.1946176107827726,1.1952920936084686,0.001652756566933819
tcwv,1.1941220638106358,1.2024878215350372,1.1989951748510217,1.198535020065565,0.004201818938957214
u10,1.192301480938055,1.191687905127269,1.1948594322566568,1.192949606107327,0.0016821699555614037
u100,1.193505899031792,1.19464913453661,1.1964998101210933,1.1948849478964982,0.0015108215838366978
v10,1.1973001842946085,1.1956441512867375,1.1967132030161696,1.1965525128658385,0.0008396292777765756
v100,1.1998641387204017,1.1977638851704397,1.1945193256899356,1.197382449860259,0.002692745115035865
vis,1.1926209402872314,1.190451076283619,1.196395959775443,1.193155992115431,0.003008341781943256
cp6,1.1951459210245747,1.1959647304968648,1.194186413228444,1.1950990215832946,0.0008900858076528991
mn2t6,1.5993363715764384,1.5893242918880317,1.5875973590040169,1.5920860074894956,0.006338091892785597
mx2t6,1.6683858452178488,1.7130071819684614,1.6568622196421687,1.679418415609493,0.02965387674048946
p10fg6,1.2277175562578686,1.2360098945881524,1.2295682576283722,1.2310985694914642,0.004352827764191208
slhf6,1.2145467461154842,1.2128282187776618,1.216866209722035,1.2147470582050603,0.00202643440965479
sshf6,1.2200692136214515,1.2247384684221028,1.2174477195004123,1.2207518005146554,0.0036929931776085237
ssr6,1.1928186005113568,1.1932190364370647,1.1935077353578443,1.1931817907687552,0.0003460738924228345
ssrd6,1.192183916646871,1.1936338909294617,1.1927265574875574,1.1928481216879634,0.0007325911179906696
str6,1.2164501776299008,1.223552443278516,1.2265498363392087,1.2221841524158752,0.005186997341884261
strd6,1.2893475565379588,1.2834274204358609,1.3006443544535817,1.2911397771424673,0.008747270732294523
tp6,1.2062289899220533,1.2056682980109372,1.2104614294618474,1.2074529057982792,0.0026204970579042286
z,1.1887371246902774,1.1882414739529112,1.1886031235851608,1.1885272407427832,0.00025639045943323403
q,1.1970382189548026,1.199130987915331,1.1971984523399113,1.1977892197366815,0.0011647639539206158
u,1.198379780781807,1.1987320977921732,1.1977731059837669,1.1982949948525825,0.00048508536619184124
v,1.1887330327188137,1.1979640643582472,1.1955082590260302,1.1940684520343636,0.004780979963563371
t,1.2176738238589313,1.228103423365267,1.216719390230614,1.2208322124849373,0.00631511018410474
cos,1.207832983166938,1.2181782184386363,1.2187253552227553,1.2149121856094431,0.006136869729887689
