,24h_rf,24h_f,72h_rf,72h_f,120h_rf,120h_f
g1,0.6413835915220896,0.6384893519267232,0.8661626218737123,0.8134475698672728,1.202716877426181,1.1129551099690431
g2,0.6407481271763622,0.6283439279004142,0.8673275761327994,0.8125190339452797,1.1956991722678694,1.1021656100720756
g3,0.6368371892623079,0.6265062909103162,0.8701591231489509,0.8066249433262538,1.196620106672618,1.123203765379617
g4,0.6519788942346161,0.6445971989867039,0.8780201312370118,0.8060265691447775,1.2127970004102628,1.125711269287896
g5,0.6440770712157693,0.628540470121439,0.874017582082457,0.8143354410387266,1.2119974432952347,1.1360537894257943
