,24h_rf,24h_f,72h_rf,72h_f,120h_rf,120h_f
g1,0.6189686617958247,0.6149606924107296,0.8457577004251705,0.7811844855375837,1.1843842446947757,1.0919915424083033
g2,0.6193296252351883,0.6126827844698789,0.8459441868073004,0.7798077384072852,1.1834866901671144,1.0960873217877953
g3,0.6172392730752438,0.6095958010435606,0.8551915631653373,0.7898141543873013,1.1844597437938174,1.0954010691622755
g4,0.6233347052191083,0.610728339804973,0.8560922242375102,0.7932642792977893,1.1912052997219444,1.1080781023248558
g5,0.6175431825760571,0.6051888017527292,0.8496955805981059,0.7823535886890508,1.1905915546993322,1.102037799315447
