,graph,24h_rf0,24h_rf,24h_f0,24h_f,72h_rf0,72h_rf,72h_f0,72h_f,120h_rf0,120h_rf,120h_f0,120h_f
0,g1,0.6413835915220896,0.02241492972626491,0.6384893519267232,0.02352865951599359,0.8661626218737123,0.02040492144854178,0.8134475698672728,0.03226308432968916,1.202716877426181,0.018332632731405285,1.1129551099690431,0.020963567560740026
1,g2,0.6407481271763622,0.021418501941173895,0.6283439279004142,0.015661143430535263,0.8673275761327994,0.02138338932549899,0.8125190339452797,0.032711295537994456,1.1956991722678694,0.012212482100754984,1.1021656100720756,0.006078288284280475
2,g3,0.6368371892623079,0.01959791618706408,0.6265062909103162,0.016910489866755585,0.8701591231489509,0.014967559983613654,0.8066249433262538,0.016810788938952492,1.196620106672618,0.012160362878800735,1.123203765379617,0.027802696217341438
3,g4,0.6519788942346161,0.028644189015507804,0.6445971989867039,0.03386885918173088,0.8780201312370118,0.021927906999501645,0.8060265691447775,0.01276228984698824,1.2127970004102628,0.021591700688318394,1.125711269287896,0.017633166963040292
4,g5,0.6440770712157693,0.026533888639712178,0.628540470121439,0.023351668368709833,0.874017582082457,0.02432200148435104,0.8143354410387266,0.031981852349675766,1.2119974432952347,0.021405888595902534,1.1360537894257945,0.034015990110347394
